                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0517,                  2.904,                 1.8403,                0.25401,                 0.3043,                0.26145,                0.10863,                 1.7374,                 2.2993,                  1.791,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 1.8217,                 1.9536,                 1.7054,                0.36233,                0.49687,                 0.3113,                0.14867,                 1.6463,                 7.7973,                 1.7446,             0.00014953,             0.00014953,             0.00014953
                      3,                 1.6802,                 1.4781,                 1.6119,                 0.6143,                0.63162,                0.63404,                0.30704,                 1.4861,                 1.8879,                 1.6107,             0.00023184,             0.00023184,             0.00023184
                      4,                 1.5193,                 1.1598,                 1.4311,                0.67273,                0.68632,                0.68781,                0.34863,                 1.4141,                 1.6203,                 1.4995,             0.00031359,             0.00031359,             0.00031359
                      5,                 1.4947,                 1.0555,                 1.4045,                0.68236,                0.66264,                0.67687,                0.35584,                 1.4373,                 1.6316,                 1.4855,              0.0003948,              0.0003948,              0.0003948
                      6,                 1.4558,                0.99297,                 1.3735,                0.73157,                0.68817,                0.71004,                0.36969,                 1.4335,                 1.3092,                 1.4884,             0.00047545,             0.00047545,             0.00047545
                      7,                 1.4259,                0.95319,                 1.3657,                0.69466,                0.67164,                0.67604,                0.34812,                 1.4762,                 1.2852,                 1.4934,             0.00055556,             0.00055556,             0.00055556
                      8,                 1.4435,                0.95878,                 1.3742,                0.70229,                0.61045,                0.66972,                0.33769,                 1.5856,                 1.5473,                 1.5955,             0.00063511,             0.00063511,             0.00063511
                      9,                 1.3903,                0.87112,                 1.3681,                0.73755,                0.52373,                0.57683,                0.29854,                 1.6217,                 1.4267,                 1.6196,             0.00071412,             0.00071412,             0.00071412
                     10,                 1.4568,                0.91335,                 1.3645,                0.51444,                0.48978,                0.49309,                0.24833,                 1.5548,                  1.596,                  1.586,             0.00079257,             0.00079257,             0.00079257
                     11,                 1.4101,                0.87984,                 1.3294,                0.64605,                0.58507,                0.63475,                0.34495,                  1.474,                 1.3111,                 1.5074,             0.00087047,             0.00087047,             0.00087047
                     12,                 1.3302,                 0.8381,                 1.2942,                0.76357,                0.63578,                0.69452,                0.35542,                 1.4421,                 1.0942,                  1.485,             0.00094783,             0.00094783,             0.00094783
                     13,                 1.3702,                0.81929,                 1.2887,                0.77099,                0.66258,                 0.7077,                0.35673,                 1.3915,                  1.004,                 1.4774,              0.0010246,              0.0010246,              0.0010246
                     14,                 1.3439,                0.83019,                  1.305,                0.78058,                0.64201,                0.70401,                  0.378,                 1.4167,                 1.0413,                 1.4607,              0.0011009,              0.0011009,              0.0011009
                     15,                 1.3724,                0.80868,                 1.3106,                0.67789,                0.58918,                0.61419,                 0.3126,                 1.6665,                 1.3503,                 1.6316,              0.0011766,              0.0011766,              0.0011766
                     16,                 1.2773,                0.75588,                 1.2757,                0.74119,                0.62186,                0.65583,                0.33399,                 1.5941,                 1.2742,                 1.5414,              0.0012517,              0.0012517,              0.0012517
                     17,                 1.3328,                  0.781,                  1.285,                0.71467,                0.65137,                0.67903,                0.31013,                 1.7682,                 1.2838,                 1.7789,              0.0013263,              0.0013263,              0.0013263
                     18,                 1.2908,                0.75378,                 1.2482,                0.74276,                0.67482,                0.75178,                0.34511,                 1.7468,                 1.1636,                 1.7092,              0.0014004,              0.0014004,              0.0014004
                     19,                 1.3466,                0.76926,                  1.282,                0.71438,                0.61121,                0.70857,                0.33267,                 1.6694,                 1.1293,                 1.6347,              0.0014739,              0.0014739,              0.0014739
                     20,                 1.3126,                0.78624,                  1.275,                0.70103,                0.60613,                 0.6701,                0.32181,                 1.6812,                 1.1437,                 1.6653,              0.0015469,              0.0015469,              0.0015469
                     21,                 1.3162,                0.76567,                 1.2836,                0.58071,                0.56635,                0.58618,                0.26391,                 1.8872,                 1.5302,                 1.8447,               0.001557,               0.001557,               0.001557
                     22,                 1.2874,                0.75346,                 1.2718,                0.47384,                0.45922,                0.45474,                0.18788,                 1.9078,                 1.6992,                 1.7587,              0.0015515,              0.0015515,              0.0015515
                     23,                 1.3088,                0.76256,                 1.2479,                0.52971,                0.44769,                0.44316,                0.16668,                 2.0129,                 1.8833,                 1.9182,               0.001546,               0.001546,               0.001546
                     24,                 1.2877,                0.77684,                  1.273,                0.69532,                0.56002,                0.63043,                0.29188,                 1.7577,                 1.4651,                 1.7194,              0.0015405,              0.0015405,              0.0015405
                     25,                 1.2151,                0.71041,                 1.2146,                0.72297,                 0.5108,                0.58165,                0.25992,                 1.8697,                 1.6858,                 1.7256,               0.001535,               0.001535,               0.001535
                     26,                 1.2423,                0.72974,                 1.2254,                 0.7067,                0.61002,                0.65723,                0.32472,                 1.6487,                 1.1898,                 1.5824,              0.0015295,              0.0015295,              0.0015295
                     27,                  1.238,                0.72296,                 1.2465,                0.72051,                0.62229,                0.67786,                0.36674,                 1.4326,                 1.0452,                 1.4615,               0.001524,               0.001524,               0.001524
                     28,                 1.2537,                0.71694,                 1.2307,                0.72794,                0.64289,                0.70685,                0.37607,                 1.4996,                 1.1148,                 1.4848,              0.0015185,              0.0015185,              0.0015185
                     29,                 1.2242,                0.70038,                 1.2145,                0.75094,                0.63726,                0.71107,                0.38378,                 1.4243,                 1.2479,                 1.4011,               0.001513,               0.001513,               0.001513
                     30,                 1.2469,                0.71479,                 1.2427,                0.78143,                0.67458,                0.74882,                0.41391,                 1.4085,                 1.0371,                  1.399,              0.0015075,              0.0015075,              0.0015075
                     31,                  1.251,                0.69965,                 1.2284,                0.77574,                 0.7439,                0.79241,                0.39769,                 1.5631,                0.95501,                 1.5592,               0.001502,               0.001502,               0.001502
                     32,                 1.2414,                0.70821,                  1.231,                0.81547,                0.70441,                0.79478,                 0.4257,                 1.4272,                0.97306,                 1.3983,              0.0014965,              0.0014965,              0.0014965
                     33,                 1.1606,                0.67553,                 1.1866,                0.79739,                0.62619,                0.73085,                0.39769,                 1.4457,                 1.0832,                 1.4557,               0.001491,               0.001491,               0.001491
                     34,                 1.1789,                0.65654,                 1.1968,                0.83851,                0.70753,                 0.7997,                0.45416,                 1.3204,                0.95414,                 1.3601,              0.0014855,              0.0014855,              0.0014855
                     35,                 1.1773,                0.64836,                 1.1886,                0.77253,                0.71919,                0.79554,                0.44602,                 1.3199,                0.98548,                 1.3777,                0.00148,                0.00148,                0.00148
                     36,                 1.1463,                 0.6563,                 1.1674,                0.80361,                0.77651,                0.84926,                0.47015,                 1.3354,                0.93368,                 1.4004,              0.0014745,              0.0014745,              0.0014745
                     37,                 1.1176,                0.61696,                 1.1571,                0.85284,                0.78621,                0.86693,                0.47815,                 1.3376,                0.84284,                 1.4209,               0.001469,               0.001469,               0.001469
                     38,                 1.1878,                0.64332,                  1.192,                0.80832,                0.79715,                0.84248,                 0.4722,                 1.2974,                0.84069,                  1.363,              0.0014635,              0.0014635,              0.0014635
                     39,                 1.1617,                0.65414,                 1.1764,                0.80165,                0.83946,                0.87006,                0.48546,                  1.414,                0.83926,                 1.4488,               0.001458,               0.001458,               0.001458
                     40,                 1.1854,                0.65064,                 1.1811,                0.80325,                0.84721,                0.88005,                0.49564,                 1.3828,                0.80977,                 1.3867,              0.0014525,              0.0014525,              0.0014525
                     41,                 1.1236,                0.64121,                 1.1909,                0.85142,                0.81008,                0.87706,                0.50801,                 1.3299,                0.71473,                 1.3318,               0.001447,               0.001447,               0.001447
                     42,                 1.1397,                0.62868,                 1.1601,                0.85285,                0.79208,                0.85999,                0.49217,                 1.3606,                0.74652,                 1.3778,              0.0014415,              0.0014415,              0.0014415
                     43,                 1.1417,                0.63829,                 1.1667,                0.86845,                0.77072,                0.84717,                0.49056,                 1.3061,                0.72698,                 1.3238,               0.001436,               0.001436,               0.001436
                     44,                 1.1074,                0.62202,                 1.1573,                0.88544,                0.82173,                0.89031,                0.49283,                 1.4341,                0.69885,                 1.4189,              0.0014305,              0.0014305,              0.0014305
                     45,                 1.1274,                0.61269,                 1.1573,                 0.8838,                0.80428,                0.88054,                0.50459,                 1.3385,                0.75675,                 1.3361,               0.001425,               0.001425,               0.001425
                     46,                 1.1046,                0.62085,                 1.1552,                 0.8362,                 0.7414,                0.81085,                0.44592,                 1.4567,                0.89066,                 1.4702,              0.0014195,              0.0014195,              0.0014195
                     47,                  1.119,                0.61593,                 1.1526,                0.82464,                0.75577,                0.82572,                0.46857,                 1.3379,                0.80645,                 1.3431,              0.0014139,              0.0014139,              0.0014139
                     48,                 1.1287,                0.64291,                 1.1474,                0.86736,                0.75523,                0.85296,                0.47707,                 1.4544,                0.79121,                 1.4416,              0.0014084,              0.0014084,              0.0014084
                     49,                 1.0647,                0.58199,                 1.1052,                0.82628,                0.85098,                0.88234,                0.50712,                 1.3271,                0.72133,                 1.3459,              0.0014029,              0.0014029,              0.0014029
                     50,                 1.0658,                0.56451,                 1.1227,                0.82777,                0.80019,                0.85972,                0.50849,                 1.2495,                0.75164,                 1.3203,              0.0013974,              0.0013974,              0.0013974
                     51,                 1.0457,                0.58772,                 1.1395,                 0.8432,                0.82878,                0.89421,                0.53944,                 1.2061,                0.67356,                 1.2906,              0.0013919,              0.0013919,              0.0013919
                     52,                 1.0624,                0.57483,                 1.1322,                0.81424,                0.85263,                0.88818,                0.53751,                 1.2295,                0.70412,                 1.2905,              0.0013864,              0.0013864,              0.0013864
                     53,                  1.049,                0.57828,                 1.1252,                0.85447,                0.87013,                0.90144,                0.54308,                  1.188,                0.64199,                 1.2683,              0.0013809,              0.0013809,              0.0013809
                     54,                 1.0373,                0.56662,                 1.1152,                0.86275,                 0.8616,                0.90412,                0.54028,                 1.2326,                 0.6475,                 1.2949,              0.0013754,              0.0013754,              0.0013754
                     55,                 1.0454,                0.56758,                 1.1175,                0.83378,                0.84147,                0.87107,                0.51802,                 1.1968,                0.70707,                 1.2614,              0.0013699,              0.0013699,              0.0013699
                     56,                 1.0519,                0.56385,                 1.1038,                0.86283,                 0.8148,                0.87592,                0.52948,                 1.2423,                 0.6753,                 1.3189,              0.0013644,              0.0013644,              0.0013644
                     57,                 1.0175,                0.55432,                  1.122,                0.85564,                0.80605,                0.86073,                 0.5081,                 1.2548,                0.73227,                 1.3088,              0.0013589,              0.0013589,              0.0013589
                     58,                 1.0066,                0.56098,                 1.0961,                0.88614,                0.85128,                0.90483,                0.53977,                   1.23,                0.65826,                 1.2775,              0.0013534,              0.0013534,              0.0013534
                     59,                 0.9881,                 0.5447,                 1.0961,                0.85051,                0.84636,                0.88607,                  0.528,                 1.2151,                0.67907,                 1.2761,              0.0013479,              0.0013479,              0.0013479
                     60,                 1.0358,                0.54728,                 1.0985,                0.85476,                0.80815,                0.87711,                0.51043,                 1.2508,                0.64117,                 1.3064,              0.0013424,              0.0013424,              0.0013424
                     61,                 1.0035,                0.55973,                 1.0907,                0.82422,                0.84835,                0.88972,                0.52678,                 1.1735,                0.63689,                 1.2745,              0.0013369,              0.0013369,              0.0013369
                     62,                 1.0146,                0.54851,                 1.0989,                0.88091,                0.87459,                0.91403,                0.54609,                  1.136,                0.58131,                 1.2421,              0.0013314,              0.0013314,              0.0013314
                     63,                 1.0102,                0.55499,                 1.1021,                0.91047,                0.87306,                0.92662,                 0.5597,                 1.1609,                0.57695,                 1.2503,              0.0013259,              0.0013259,              0.0013259
                     64,                 1.0142,                0.56254,                  1.099,                0.87095,                0.84047,                0.89291,                 0.5394,                 1.1912,                0.63849,                  1.283,              0.0013204,              0.0013204,              0.0013204
                     65,                 1.0109,                0.56356,                 1.0922,                0.87427,                0.80127,                0.88859,                0.51449,                 1.3556,                0.67671,                 1.3767,              0.0013149,              0.0013149,              0.0013149
